,AA_Pseudomonadota,AA_Bacillota,AA_Actinobacteriota,AA_Acidobacteriota,AA_Bacteroidota,RA_Pseudomonadota,RA_Bacillota,RA_Actinobacteriota,RA_Acidobacteriota,RA_Bacteroidota,Type,Day
GS01_1,38486762,2527963,45320585,75763390,15064514,0.20822838,0.043660789,0.198992443,0.181360202,0.085642317,GS,1
GS01_2,40335129,7735339,54151748,67615389,12945142,0.197313182,0.125104954,0.192275399,0.139378673,0.068010076,GS,1
GS01_3,61776476,1953058,65688032,118831854,20253005,0.196473552,0.026868178,0.222502099,0.187237615,0.079764903,GS,1
GS01_4,55518376,1614227,58940370,107754751,17174466,0.235096558,0.019311503,0.210747271,0.191435768,0.068010076,GS,1
GS01_5,52997980,4488547,43285718,89531957,16069572,0.347607053,0.052057095,0.142737196,0.161209068,0.072208228,GS,1
GS01_6,38049738,2008926,57095442,75922988,16577790,0.19395466,0.042821159,0.205709488,0.162048699,0.077246012,GS,1
GS03_1,43088590,2772547,49461263,94194400,19145471,0.196473552,0.046179681,0.206549118,0.183879093,0.10411419,GS,3
GS03_2,41239085,4809981,44619768,106779261,14070289,0.162888329,0.066330814,0.167086482,0.212426532,0.073047859,GS,3
GS03_3,56639697,1122306,69014747,107491863,28722438,0.213266163,0.01427372,0.210747271,0.167086482,0.133501259,GS,3
GS03_4,34949359,3017574,46806271,75160667,11237616,0.192275399,0.058774139,0.259445844,0.19395466,0.050377834,GS,3
GS03_5,39457922,3379709,45945181,90685775,15648005,0.200671704,0.057094878,0.196473552,0.185558354,0.079764903,GS,3
GS03_6,49339087,1414916,46206198,96828796,26450780,0.191435768,0.01427372,0.203190596,0.188077246,0.139378673,GS,3
GS07_1,68039314,6782485,64836475,78512664,19691991,0.277078086,0.067170445,0.236775819,0.130142737,0.098236776,GS,7
GS07_2,157405068,7781386,89042209,114989376,21297736,0.491183879,0.068010076,0.159529807,0.100755668,0.038623006,GS,7
GS07_3,43005535,4088382,49829486,57405053,18106803,0.246851385,0.065491184,0.22418136,0.123425693,0.106633081,GS,7
GS07_4,50077969,2593649,44533961,69765830,16503662,0.293031066,0.036943745,0.189756507,0.132661629,0.10495382,GS,7
GS07_5,95221059,7056204,98639432,129532748,65920188,0.209907641,0.040302267,0.227539882,0.115869018,0.241813602,GS,7
GS07_6,48904400,3354934,67128157,85241575,19037091,0.219143577,0.04450042,0.241813602,0.141057935,0.068849706,GS,7
GS14_1,187796010,13635173,65464725,58132676,18406711,0.606213266,0.093198992,0.109151973,0.057934509,0.043660789,GS,14
GS14_2,1005447740,205732142,114368028,41949329,131401439,0.597816961,0.222502099,0.057094878,0.003358522,0.109991604,GS,14
GS14_3,623879664,165596444,129773846,74705903,76175129,0.548278757,0.266162888,0.07388749,0.013434089,0.07472712,GS,14
GS14_4,78952230,43489602,78908069,77588019,9438066,0.251049538,0.356003359,0.172124265,0.082283795,0.020151134,GS,14
GS14_5,502771865,135627160,75289118,29618682,17901072,0.638119228,0.25356843,0.063811923,0.010915197,0.023509656,GS,14
GS14_6,718483618,96832898,67552900,32251659,11491596,0.735516373,0.17884131,0.043660789,0.009235936,0.016792611,GS,14
GS21_1,675645819,445314056,112346927,7641223,3796628,0.369437448,0.55163728,0.064651553,0,0.004198153,GS,21
GS21_2,11576484,209643825,84476983,2257893,26075,0.020151134,0.853904282,0.116708648,0.001679261,0,GS,21
GS21_3,1082907607,1406030262,1220653834,109603421,76978817,0.202350966,0.588581024,0.168765743,0.004198153,0.020151134,GS,21
GS21_4,417477048,425458690,198218498,54585179,6798947,0.317380353,0.574307305,0.083963056,0.007556675,0.001679261,GS,21
GS21_5,634614716,1638915587,426461993,21009785,3268431,0.154492024,0.765743073,0.077246012,0,0.001679261,GS,21
GS21_6,340170499,337961950,248852792,38976253,5335759,0.273719563,0.546599496,0.160369437,0.006717045,0.002518892,GS,21
GS28_1,5332284484,235290450,447822407,22089602,9171608,0.881612091,0.062132662,0.052896725,0.000839631,0.001679261,GS,28
GS28_2,1252357139,1538951365,1543128569,30965440,105156353,0.259445844,0.502938707,0.207388749,0.001679261,0.022670025,GS,28
GS28_3,449265617,259876520,68639481,1609014,318625,0.398824517,0.518052057,0.078925273,0.000839631,0,GS,28
GS28_4,123797380,942105564,67965454,3663848,743162,0.085642317,0.875734677,0.036104114,0,0,GS,28
GS28_5,138100862,75458511,95545404,4822733,1838095,0.419815281,0.344248531,0.220822838,0.002518892,0.002518892,GS,28
GS28_6,945868632,227449465,407762387,3958352,903814,0.521410579,0.235096558,0.23845508,0,0.000839631,GS,28
GS35_1,40593913,265158691,115624314,4922643,1213079,0.073047859,0.768261965,0.151133501,0,0.002518892,GS,35
GS35_2,458340526,54380397,97714443,5706749,27393348,0.645675903,0.157850546,0.156171285,0,0.034424853,GS,35
GS35_3,109993732,115746487,78747346,23129806,5630312,0.17884131,0.616288833,0.147774979,0.012594458,0.012594458,GS,35
GS35_4,114376730,62939218,25486090,917791,9838145,0.35852225,0.484466835,0.101595298,0.001679261,0.049538203,GS,35
GS35_5,112455302,81177254,115924283,1571750,9131021,0.244332494,0.399664148,0.326616289,0.001679261,0.023509656,GS,35
GS35_6,30126175,7990443,9872669,351523,30190,0.558354324,0.266162888,0.172124265,0.000839631,0.000839631,GS,35
MS01_1,191869,6345,5205,7044,9967,0.77665827,0.077246012,0.019311503,0.042821159,0.036104114,MS,1
MS01_2,287121,7774,26629,10302,61363,0.741393787,0.054575987,0.060453401,0.019311503,0.047019312,MS,1
MS01_3,382063,3887,8205,816,26707,0.916036944,0.020990764,0.015952981,0.001679261,0.023509656,MS,1
MS01_4,273520,9042,49222,11884,47110,0.58186398,0.068010076,0.113350126,0.051217464,0.064651553,MS,1
MS01_5,234962,10531,13732,12435,23213,0.782535684,0.052057095,0.035264484,0.02938707,0.021830395,MS,1
MS01_6,130134,8614,19618,7020,27958,0.662468514,0.078925273,0.061293031,0.0302267,0.052057095,MS,1
MS03_1,258392,16895,23298,583,3514,0.711167086,0.14861461,0.106633081,0.004198153,0.007556675,MS,3
MS03_2,186584,132862,34549,13878,25432,0.340050378,0.547439127,0.040302267,0.020151134,0.012594458,MS,3
MS03_3,237445,61607,100451,21078,59851,0.392947103,0.249370277,0.172124265,0.033585223,0.037783375,MS,3
MS03_4,267685,24155,23731,16514,60351,0.618807725,0.145256087,0.046179681,0.052896725,0.052057095,MS,3
MS03_5,422601,8878,4852,2125,7515,0.869857263,0.069689337,0.01511335,0.011754828,0.011754828,MS,3
MS03_6,199313,30190,48127,11934,44884,0.495382032,0.221662469,0.112510495,0.039462636,0.056255248,MS,3
MS07_1,4673682,77471,86535,5627,62334,0.951301427,0.018471872,0.01511335,0.003358522,0.005877414,MS,7
MS07_2,186309,10836,42377,5959,17015,0.649034425,0.10411419,0.094038623,0.017632242,0.020990764,MS,7
MS07_3,619163,175596,92274,2639,10034,0.632241814,0.278757347,0.07388749,0.002518892,0.001679261,MS,7
MS07_4,157876,31864,15797,4083,3334,0.638958858,0.256087322,0.052057095,0.031905961,0.002518892,MS,7
MS07_5,387708,15004,11800,0,0,0.909319899,0.061293031,0.026868178,0,0,MS,7
MS07_6,748130,46312,27637,4174,8415,0.803526448,0.131821998,0.036943745,0.007556675,0.003358522,MS,7
MS14_1,12987219,1800774,210925,15354,24846,0.804366079,0.188077246,0.007556675,0,0,MS,14
MS14_2,54525038,598780838,9369879,6298713,254643,0.076406381,0.904282116,0.010075567,0.008396306,0,MS,14
MS14_3,37713787,59178537,3284364,609186,172474,0.225860621,0.753148615,0.012594458,0.007556675,0.000839631,MS,14
MS14_4,20155046,83123,75761,3000,3898,0.989084803,0.006717045,0.004198153,0,0,MS,14
MS14_5,19346823,1499008,1066193,16101,33650,0.913518052,0.061293031,0.022670025,0.000839631,0.000839631,MS,14
MS14_6,34963111,2988334,205869,3890,19198,0.92527288,0.073047859,0.001679261,0,0,MS,14
MS21_1,41231478,655422,128129,1325,5130,0.989084803,0.010075567,0.000839631,0,0,MS,21
MS21_2,48907755,21991285,2684675,7182269,22072,0.608732158,0.296389589,0.01511335,0.073047859,0,MS,21
MS21_3,7399335,17656943,733816,14499,0,0.234256927,0.756507137,0.006717045,0.000839631,0,MS,21
MS21_4,80887515,2335933,798457,4102,39455,0.982367758,0.013434089,0.004198153,0,0,MS,21
MS21_5,163904471,7219846,454249,20601,51014,0.95549958,0.041981528,0.002518892,0,0,MS,21
MS21_6,42281205,49070510,1252153,0,60063,0.464315701,0.527287993,0.008396306,0,0,MS,21
MS28_1,8568589,36213068,330634,36209,12309,0.230058774,0.763224181,0.006717045,0,0,MS,28
MS28_2,130717386,207672306,3613368,616219,198713,0.339210747,0.650713686,0.008396306,0.000839631,0,MS,28
MS28_3,54379704,65099626,376658,33525,94854,0.602854744,0.394626364,0.001679261,0,0,MS,28
MS28_4,120634736,14172982,3047410,98004,145906,0.890008396,0.094878254,0.013434089,0.001679261,0,MS,28
MS28_5,26749643,1815566,403954,17813,32334,0.939546599,0.056255248,0.003358522,0,0,MS,28
MS28_6,36273833,60595341,662856,106649,103415,0.460117548,0.536523929,0.003358522,0,0,MS,28
MS35_1,57464832,43958267,140259,5507,118241,0.684298908,0.314861461,0.000839631,0,0,MS,35
MS35_2,72769722,434902241,2801878,206083,156990,0.193115029,0.801847187,0.005037783,0,0,MS,35
MS35_3,67985507,163494432,1230586,262421,0,0.299748111,0.699412259,0.000839631,0,0,MS,35
MS35_4,51740690,92251763,620745,46098,18036,0.471032746,0.524769102,0.003358522,0.000839631,0,MS,35
MS35_5,52078059,50885551,1353093,364187,28339,0.531486146,0.455079765,0.010915197,0.002518892,0,MS,35
MS35_6,77263591,493389461,3052047,183326,102712,0.165407221,0.828715365,0.005037783,0.000839631,0,MS,35
