"","GS01_1","GS01_2","GS01_3","GS01_4","GS01_5","GS01_6","GS03_1","GS03_2","GS03_3","GS03_4","GS03_5","GS03_6","GS07_1","GS07_2","GS07_3","GS07_4","GS07_5","GS07_6","GS14_1","GS14_2","GS14_3","GS14_4","GS14_5","GS14_6","GS21_1","GS21_2","GS21_3","GS21_4","GS21_5","GS21_6","GS28_1","GS28_2","GS28_3","GS28_4","GS28_5","GS28_6","GS35_1","GS35_2","GS35_3","GS35_4","GS35_5","GS35_6"
"Nocardioides",957382,1196405,1621222,1390393,883214,1988055,1110010,916365,2116508,1043782,1011183,1650697,1181899,1776279,1558770,984078,1456029,1699089,1963467,1429935,2829847,2460804,1018813,881516,969965,2429185,25427771,4830170,2226662,4717035,1737602,7086575,164175,367297,389814,3708468,204383,1255830,1170254,128310,262741,21042
"TRA3-20_genus",855346,940401,1612373,1246678,1104732,1072129,1043390,1244503,1165089,817563,1192958,1319400,1208450,1589002,893732,949578,1707803,1077441,1051518,467601,998918,1252771,323770,526575,55754,27463,1494792,673807,547238,623624,379338,342068,0,0,70892,39862,23618,86258,303740,30901,0,4604
"Ardenticatenales_genus",1816030,2437517,2514103,1908210,1835645,1431796,1857015,2415173,908851,1557249,2115450,1319343,2754752,2254244,1339461,1765715,4611662,2454809,1025435,1432757,2597970,2162209,373480,596525,181195,88606,2106014,936516,1469409,605959,371843,1179537,0,0,44263,221931,215989,107254,1121080,0,31174,6554
"Streptomyces",588772,514923,479077,466152,412200,424353,304008,245284,161622,265307,278526,215324,996895,1191055,816192,372712,948818,601275,549870,1895853,1791938,1271139,568985,346361,588171,625608,12252113,3047726,817334,2308186,3869647,5376195,37450,0,296589,1686635,126624,1050855,2926082,608767,284623,54157
"Gaiella",3797318,4198146,5627816,4867972,3291004,5186257,3277198,3634378,3810914,2932122,2946845,3379354,2695201,5224474,2634540,3047661,3544608,3743400,3118686,0,3187934,2868474,1955599,337960,2096378,1685994,28060328,6524447,10579053,4909339,4868557,9206414,269754,1051682,668964,5043673,934373,1261227,2099299,384572,1047036,10408
"Lysobacter",1926213,1399949,2611093,2050363,1740264,1247454,1833931,1494659,3187028,1713710,1383918,1682609,1177970,2184862,1003537,1034155,2057475,1237373,1185155,508403,1424704,624608,377349,503491,687642,69981,3666323,4052451,370853,1809219,265602,2581991,128454,0,292905,509996,189784,351799,467823,73572,215822,16277
"Steroidobacter",3601352,3765407,5184611,5018378,3671105,3943340,3851261,3941544,3513110,2926046,3308220,4146474,3203779,4186848,2828418,2611706,5170502,3345066,2615674,1298552,2679815,3296532,442558,149668,0,166632,0,3446085,1148291,313506,1080941,3021737,0,0,234572,664752,106279,330613,785944,80609,242000,17150
"Gaiellales_genus",3623536,4335874,5078776,3623610,2967569,4061485,3118623,3982846,3527204,3253298,3199893,2715570,2704830,3946875,2476442,2731520,3989989,4482991,2280729,2020986,4539443,3376645,831825,1289076,1644765,924579,28151006,5547355,12511820,3480766,1422518,8093736,383556,266249,524477,4398266,332123,1223471,2511177,189766,771463,27440
"Solirubrobacter",2558659,2376228,4417037,4251825,2534292,4654610,3021510,2207816,5125243,2209730,2600708,3659583,2296042,4338097,2563855,2279453,2942580,3872682,5135117,1689489,2970998,3431646,2787423,2790585,2107529,2715875,17080199,5591131,6162115,8227424,7588203,13504623,349837,1433305,952188,4545988,637676,1046940,650029,409763,1204406,80425
"JG30-KF-CM45_genus",1044569,1332847,2073655,1968410,1120552,1786975,1280997,1577486,2449779,1278394,1505736,1761468,1200880,2026258,1676426,1503426,1399450,2007807,1349864,557009,1903982,1764370,933876,708404,447928,593628,6804087,1159318,3183445,1762093,1582023,1245408,370911,425998,415025,3059856,165971,943937,978934,151142,434317,22438
"Mycoavidus",0,0,0,0,0,3307,0,0,0,3537,0,0,46496,0,85114,10796,14554,23236,4584556,5060388,744658,29017233,1425483,22876,135563,0,9124206,77291,0,0,0,0,0,0,0,0,0,47585,187891,13401,0,0
"Agromyces",1155465,1171464,1450133,1312595,1013818,1004622,1071503,682235,1195207,1065097,766968,750190,1282387,1556864,999756,771480,2008901,1222468,1129049,1656530,3139986,1264946,1384444,672902,1784151,3328789,43856286,5071505,5729611,7406939,18779541,5175078,170353,519555,2334133,6429160,512946,2566330,2430222,184030,1063997,124286
"Neobacillus",618286,2134470,462233,192523,928891,774614,307553,403981,110716,322349,471562,149132,293032,185434,350872,209853,253243,201371,728439,354047,563495,774953,0,96435,0,0,250722,303880,0,80006,0,0,0,0,0,95799,0,46190,121292,0,0,0
"Ignatzschineria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68585,18948,0,0,0,0,0,0,89304,0,0,0,0,0,0,0,0,103327,22109,0,37446835,66911,0
"Chryseolinea",1695759,1662508,2757704,1956318,1523017,1424352,2441302,1741043,2303133,1386020,1505583,2380611,1414566,1730506,1296063,1119590,2376896,1166464,1247695,353215,1064966,906336,568838,743512,217444,0,1296266,583102,264334,645654,0,1245408,56901,0,158987,131016,0,143878,327231,33587,43014,8575
"TK10_genus",1208642,1310142,2133645,2247144,1381492,1516175,1198114,1606829,1910462,1522194,1748620,1720643,1479301,1766731,1281512,1495598,1975260,1929095,1378151,734918,1112418,1018799,293072,479493,126021,103564,2595332,766788,1826105,711125,750242,1607658,78909,121575,165821,932300,129411,317770,704263,49078,279767,13393
"Paenibacillus",102690,167712,95273,55535,102124,106554,73528,86900,23877,38936,68028,52495,150512,169559,155670,103851,113438,86740,471085,4242671,3574142,82545,2843101,678912,531134,16910,6212653,1234234,103002,1310883,2540711,7485598,707853,1540294,544903,1163698,758670,711197,635190,0,83506,317230
"MB-A2-108_genus",1492033,2108546,2549648,1971213,1568697,1840412,1304609,1939995,790802,1370718,1977374,1196877,1781769,2645107,1123273,1480879,2647864,1708301,822992,1110173,1919317,2116357,679544,270379,502093,829817,8962046,1717614,6023326,1377787,2544972,4130974,170343,342582,333302,2552439,590137,830224,986868,55689,536288,24411
"Peribacillus",365193,1352302,184116,188352,777600,186383,201528,176993,92289,257696,189239,99497,377047,486161,247667,126278,341420,151368,377126,2302788,1180255,1826421,821640,57297,124020,48928,6253605,545985,711498,586856,0,3089243,0,0,27269,246341,0,0,136429,0,0,0
"Sphingomonas",1379448,851855,1810224,1657778,1598409,1110670,1517367,1175316,3116955,1267756,1223961,1785153,1404449,2542952,1074562,863776,2776274,2566863,457195,1022058,607868,229400,149928,484985,55502,41889,1501877,769356,239216,365764,0,963500,17165,32951,61159,220422,32060,79878,125674,0,0,12256
"Paenarthrobacter",69016,276880,249189,97771,267722,76976,1406585,79646,398265,329966,847738,1057062,1373056,2125852,537985,489127,6630891,579604,3377317,3604600,3307441,1223568,2140149,5315696,916374,215015,9801498,1542233,1426913,4621298,1311736,4667320,98253,374787,419130,224578,47874,64465,177181,91911,157606,31646
"Gemmataceae_genus",783398,1190096,1221455,1198906,1021708,1219011,838440,1164570,1197303,907167,973279,990839,680031,894430,933718,1024736,878067,1100512,1111204,369140,762628,822893,451278,581636,193431,88245,3136057,1059421,624411,732248,1228953,903208,111655,272282,220087,447593,337572,123810,890061,80027,143054,4226
"Pseudaminobacter",0,46683,0,0,0,9123,0,0,0,14474,0,0,0,0,0,9888,0,0,122043,1492142,912019,0,376522,295284,18522265,1219676,141671364,2976801,4161945,28106629,52894672,0,1806388,0,4688331,26419871,2014484,21424500,7976311,62226,2467338,444634
"Acinetobacter",0,7678,0,1874,0,1386,0,83639,0,47082,47527,49609,49301,2958797,3482,3624714,591789,38250,0,6706887,6291,0,4278761,0,50353,0,60797,92010,2712556,21148,0,0,594516,0,0,0,5817,0,0,77487,723311,0
"Microlunatus",1975409,2412787,3246941,3079694,1903989,2857142,2421636,2316229,4897457,2107092,2141162,2600692,2088584,3319904,2404306,1958275,2986605,3375349,3343950,1207105,2663574,1738541,1791087,1240797,0,648015,3763085,2071503,2592181,1738689,1760557,4405523,311903,0,307550,2042324,309981,457143,496386,87327,446232,28740
"Nitrospira",2375634,2561566,3451412,3007085,2976289,2642556,2531038,3128456,1795302,2069912,2692662,2353903,3429619,3733939,1620712,1880752,4242885,2442044,1644637,973914,2459397,2533679,1095969,601086,223019,120344,3235510,865023,1756544,1814947,0,2129336,0,0,295387,518788,464972,370409,1421200,80609,118902,12064
"SC-I-84_genus",549471,383911,1035578,823880,534565,421971,650321,520462,924201,606219,510702,760847,492682,875020,463359,489998,748319,408234,605803,334087,560248,331606,237884,251056,128608,39189,1717900,699957,448705,641247,0,519626,74286,140816,172367,50179,107460,149116,196190,17018,17346,0
"Bryobacter",1864897,2189803,3361281,3100771,2788035,2779776,2959765,2714057,3993313,1996839,2403354,4616598,2757776,3686710,2287220,2536613,2782320,3167350,2764560,1154189,1523889,2940482,825592,888259,0,39321,0,1028536,0,1153334,713631,0,0,0,84348,326110,68789,185259,447504,21196,84881,26447
"A4b_genus",981328,1063879,1631104,1942858,1086082,1275899,1045535,1375094,1141751,995642,1147297,1249048,1168761,1308801,933104,1159030,1956902,1942868,1112559,476975,949524,814306,428645,370867,56009,18494,499095,365833,597014,403331,0,863979,0,60787,21231,129134,32353,128731,749026,25306,25141,3647
"0319-7L14_genus",666436,884880,1215123,979349,827763,1420543,871721,1152916,885243,764037,998561,931370,1152010,1428893,940343,932736,1295515,1084098,911110,751071,680190,1910190,225707,381475,76029,122329,281896,1004488,652613,474146,0,986040,0,0,31510,102786,70027,113852,213630,27844,0,10602
"Microbacterium",593896,778371,1019988,661534,476548,826393,674498,253220,995305,401069,637143,798573,1183762,5185766,1015021,677587,1799982,882287,1866330,5009465,8068356,677147,1504837,2490299,920098,1328047,26389365,1964271,2600781,4233060,15735807,20482435,242412,102403,1930232,27436030,442831,579995,574861,498587,1731597,44368
"Arenimicrobium",1440404,532388,2525636,3333405,1324612,1756819,1848660,2440896,6305170,1742069,2064008,2615220,2263160,3080465,1126455,2168098,1614323,2989816,1906739,623706,1217534,2100012,1455474,1010131,0,0,1272516,1586153,0,1424803,3144173,1178974,0,0,138331,0,120382,104022,331326,0,0,14928
"Pirellulaceae_genus",1703847,1976078,3029193,2606294,2273927,2106935,2043230,2538612,2923790,1497855,2307903,2286302,1647389,2043162,1823078,2111611,2357652,2671502,1828424,776477,1786122,1703060,421664,856861,238590,0,3984280,729854,2796212,598464,502491,1668990,170874,359796,234807,1243697,287243,250966,797229,19668,318836,17260
"Terrimonas",750894,600653,1249818,1121830,883433,613506,1036028,1084944,1187439,779313,900508,1312360,691887,996893,582012,707883,1388174,810117,638128,203564,424308,364032,199172,387728,0,0,492624,344815,393250,282632,601181,0,0,158047,75573,0,48529,55563,97140,12077,0,3564
"S0134_terrestrial_group_genus",766189,954963,1765356,1211364,1042423,982834,980768,1472128,915379,1050855,1477916,1403605,741050,1470990,463762,819872,1488105,878590,226901,93953,638315,458624,221126,50705,43280,0,1332485,0,482802,0,572553,198586,17321,0,42050,51393,16176,0,115353,0,0,0
"Flavisolibacter",795999,678962,1039535,1001504,859637,1312110,1105961,866061,2574180,736133,680849,2194322,839041,1286913,1316695,802288,697587,1411983,886970,0,1513921,526418,355097,609172,101752,0,0,0,0,170043,0,1155038,0,91181,26932,0,0,113518,163986,0,37769,0
"Entotheonellaceae_genus",1091517,1241870,1432764,1456932,1197816,882415,1317381,1758931,906094,1172319,1200289,1097634,956488,1462692,637689,825686,2025284,1229597,486337,444710,945555,1019346,212662,154320,78922,32760,1957322,593281,1160283,267736,827240,1335944,0,0,98382,492248,64705,224583,813549,21471,49503,4753
"Xanthobacteraceae_genus",1245917,1253671,2462713,2414975,1454497,1293490,1463583,1565760,1681327,1410126,1368677,1578271,1144626,1773886,1303183,1100059,1944372,1268030,1125758,864100,1437746,1062873,393690,272971,143508,264694,4818715,1112588,928045,1420489,3532891,3001155,296007,1049200,347274,1265590,274059,1180457,772630,111499,573515,22548
"P2-11E_genus",948009,1197228,1355038,1096016,1090733,994162,799859,1377444,184436,1065914,1174399,593801,616742,1162129,626163,744775,1799472,893481,241670,465588,947674,518681,246518,0,300414,32760,2642386,459753,1129134,0,173740,0,0,0,18248,186300,24265,36343,228010,0,0,0
"S085_genus",1208013,1397932,1645400,1378781,1238420,1110314,1357236,1477627,446078,1151963,1449933,953682,1515672,1490860,830888,1136928,2473165,1433826,476349,506300,1840786,1117620,414743,451936,215127,61821,3312393,1028246,0,567971,188902,1103831,51964,0,49191,776515,24265,48924,463440,9973,117530,0
"11_24_genus",1880982,1432908,2780217,2751916,1910180,1191501,2234330,3203446,2243456,2146163,2327749,1657631,2067547,2792835,1002617,1295099,4521254,2553384,1281583,1440517,3543353,1866525,843589,897633,138034,29210,2985210,1441649,1236264,881865,0,0,0,0,72539,0,85986,116137,501571,0,0,10334
"Croceibacterium",910935,712760,1399168,1190462,960753,918178,984122,750360,2278024,842938,789724,1337998,807155,1288095,973977,724095,1110773,1253425,888793,0,1145929,736186,358336,211927,17828,0,83871,561968,0,200006,0,0,0,0,130318,0,151901,110940,112518,0,0,0
"Lactobacillus",0,0,0,0,0,0,0,0,0,0,17053,0,0,0,0,0,0,0,0,0,6517730,0,42795970,31526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13781,0,645792,0
"Ensifer",559808,409092,479445,420390,536309,276917,332670,402661,182519,382865,288795,229476,609278,421650,507227,447590,981285,533924,1004008,3488881,5947485,428162,1894942,1390242,375378,831022,26273947,13201713,0,7986008,3346278,0,44514,0,1215726,1026722,0,434769,1353983,22170,152811,17604
"Dongia",531018,605542,905170,618910,549411,421518,591153,559357,469585,576434,446152,428635,556878,455563,358892,468446,987992,558198,251814,369145,546432,465462,352030,251735,74169,54850,1039871,417684,0,335708,0,253906,0,0,49114,23125,32501,118268,327102,10785,26309,8789
"AKAU4049_genus",1177202,1372696,1274869,1201165,853478,681491,885740,1120498,352788,1104775,1026392,437454,868554,1116601,580513,629382,1594700,1245555,335542,966669,1306826,776928,394641,291003,190941,161158,5249012,767588,654119,557911,1893373,1379789,26945,151968,90448,322812,121324,200820,597681,16103,24911,7021
"AKIW781_genus",328414,409748,496646,787356,473335,617049,426412,585253,1020844,409970,717714,617198,443008,553920,446479,394368,483675,1409071,489324,102160,310869,497279,177553,100147,94784,74373,188204,252853,211467,424335,152196,916284,15174,0,20542,90040,28341,37143,90074,5374,101145,3454
"Haliangiaceae_genus",491363,546758,957958,588826,601438,684453,589506,771274,598264,412040,491844,628894,607005,886494,490864,608233,623651,717424,508282,173630,598295,421136,247061,110303,23696,15169,2479308,296069,0,405569,208901,310963,14207,0,38396,98797,0,50065,364080,40833,40341,1993
"Saprospiraceae_genus",1057799,344390,1032422,1124836,744247,711930,727679,789449,2719338,854384,919360,1382274,553661,849827,547186,824969,1014250,697417,891815,237763,322622,583194,219298,287086,49064,0,160964,154968,211467,269107,0,0,0,0,68844,0,0,0,27331,8446,0,0
"Ohtaekwangia",811599,965369,947427,955930,745377,1037975,1073858,339865,1359102,525837,576759,1625748,522146,548388,784608,805460,744860,506653,879183,0,410674,293544,126280,168980,0,0,0,0,0,0,0,0,0,0,0,0,0,26530,36934,0,0,0
"Blastocatellaceae_genus",2009387,1170430,2000762,2361582,1673328,1372917,2432258,2357360,4201926,1869942,1607987,2283641,1405657,2304401,1145081,1407601,2818106,2248015,656104,0,1526142,1051748,690618,682014,0,69654,1028417,1479050,0,773278,881544,2242792,0,0,155200,290255,137579,0,206541,0,0,0
"Chitinophagaceae_genus",403306,387526,565330,584005,635631,674200,492965,439044,1209153,391043,685456,1465611,672100,758161,835494,614442,584513,1033886,996140,203564,316245,263708,80145,420795,0,10303,0,197894,181051,0,0,284340,0,0,11306,38545,0,0,94105,0,0,0
