Genera,Phylum
UCG-003,Bacillota
Limnochordaceae_genus,Bacillota
Pueribacillus,Bacillota
R7C24_genus,Pseudomonadota
UBA12409,Dependentiae
Mucilaginibacter,Bacteroidota
Rhodopseudomonas,Pseudomonadota
Sneathiellaceae_genus,Pseudomonadota
[Eubacterium]_coprostanoligenes_group_genus,Bacillota
Phytomonospora,Actinomycetota
Chiayiivirga,Pseudomonadota
Taibaiella,Bacteroidota
Rhodocyclaceae_genus,Pseudomonadota
Paenibacillaceae_genus,Bacillota
Sporichthya,Actinomycetota
Rubritepida,Pseudomonadota
Tomitella,Actinomycetota
Acetobacteraceae_genus,Pseudomonadota
Candidatus_Paracaedibacter,Pseudomonadota
Christensenellaceae_R-7_group,Bacillota
Moheibacter,Bacteroidota
Acidobacteriaceae_(Subgroup_1)_genus,Acidobacteriota
Micromonosporaceae_genus,Actinomycetota
Enterocloster,Bacillota
Anaerosalibacter,Bacillota
Thermopolyspora,Actinomycetota
Thalassiella,Actinomycetota
Hydrogenedensaceae_genus,Hydrogenedentes
Cytophagales_genus,Bacteroidota
Cnuella,Bacteroidota
Deinococcus,Deinococcota
Nemorincola,Bacteroidota
Gordonia,Actinomycetota
Neisseria,Pseudomonadota
Ferrovibrio,Pseudomonadota
Colidextribacter,Bacillota
Lineage_IIc_genus,Elusimicrobiota
Sphingobacteriaceae_genus,Bacteroidota
Glycomycetaceae_genus,Actinomycetota
[Ruminococcus]_gauvreauii_group,Bacillota
UCG-010_genus,Bacillota
Nannocystaceae_genus,Myxococcota
Methylocaldum,Pseudomonadota
Verruc-01,Verrucomicrobiota
EC3_genus,Pseudomonadota
Azospirillum,Pseudomonadota
Spirosomataceae_genus,Bacteroidota
Candidatus_Gottesmanbacteria_genus,Patescibacteria
Oceanicella,Pseudomonadota
Leptolyngbya_ANT.L52.2,Cyanobacteriota
Desulfitobacterium,Bacillota
Aquabacterium,Pseudomonadota
Blautia,Bacillota
eub62A3_genus,Pseudomonadota
Arsenicitalea,Pseudomonadota
Defluviicoccales_genus,Pseudomonadota
Hirschia,Pseudomonadota
Carnobacterium,Bacillota
Occultella,Actinomycetota
Umezawaea,Actinomycetota
Coxiella,Pseudomonadota
Acutalibacter,Bacillota
COB_P4-1_termite_group_genus,Bacteroidota
Deserticella,Pseudomonadota
Nocardiopsis,Actinomycetota
Symbiobacterium,Bacillota
Qipengyuania,Pseudomonadota
Xanthobacter,Pseudomonadota
Polyangium,Myxococcota
E1B-B3-114,Actinomycetota
Saccharopolyspora,Actinomycetota
Peptococcaceae_genus,Bacillota
koll11_genus,Verrucomicrobiota
Jatrophihabitans,Actinomycetota
Rhodanobacter,Pseudomonadota
Tagaea,Pseudomonadota
Bradymonadales_genus,Thermodesulfobacteriota
Bacteriovorax,Bdellovibrionota
AT-s3-44_genus,Pseudomonadota
Isoptericola,Actinomycetota
Tepidisphaeraceae_genus,Planctomycetota
Roseisolibacter,Gemmatimonadota
Chitinibacter,Pseudomonadota
Hypericibacter,Pseudomonadota
Rikenellaceae_RC9_gut_group,Bacteroidota
Candidatus_Amoebophilus,Bacteroidota
SWB02,Pseudomonadota
Coriobacteriaceae_UCG-002,Actinomycetota
Nosocomiicoccus,Bacillota
Bacteroidales_RF16_group_genus,Bacteroidota
Haloplasma,Bacillota
Saccharothrix,Actinomycetota
Zavarziniales_genus,Pseudomonadota
Eggerthellaceae_genus,Actinomycetota
SH3-11,Verrucomicrobiota
KD3-10,Myxococcota
Fodinicurvataceae_genus,Pseudomonadota
KF-JG30-C25_genus,Pseudomonadota
Agathobaculum,Bacillota
Treponema,Spirochaetota
Candidatus_Soleaferrea,Bacillota
Crocinitomix,Bacteroidota
Babeliales_genus,Dependentiae
Belnapia,Pseudomonadota
Duganella,Pseudomonadota
Burkholderia-Caballeronia-Paraburkholderia,Pseudomonadota
Nitrosomonadaceae_genus,Pseudomonadota
A0839_genus,Pseudomonadota
UCG-012,Bacillota
Desulfosporosinus,Bacillota
Truepera,Deinococcota
Anoxybacter,Halanaerobiaeota
Microgenomatia_genus,Patescibacteria
Limnochorda,Bacillota
Micavibrionales_genus,Pseudomonadota
Bordetella,Pseudomonadota
BSV26_genus,Candidatus_Kryptonia
Vicingus,Bacteroidota
Janibacter,Actinomycetota
type_III,Bacillota
Izemoplasmatales_genus,Bacillota
Oscillochloris,Chloroflexota
Embleya,Actinomycetota
Roseimicrobium,Verrucomicrobiota
Adlercreutzia,Actinomycetota
UKL13-1,Pseudomonadota
Acidothermus,Actinomycetota
Rhodospirillales_genus,Pseudomonadota
Acetatifactor,Bacillota
Hydrogenoanaerobacterium,Bacillota
Mumia,Actinomycetota
Candidatus_Koribacter,Acidobacteriota
KIST-JJY010_genus,Actinomycetota
Parablastomonas,Pseudomonadota
Rathayibacter,Actinomycetota
Granulicella,Acidobacteriota
Sedimentibacter,Bacillota
Streptosporangium,Actinomycetota
Flexibacter,Bacteroidota
Yinghuangia,Actinomycetota
Jahnella,Myxococcota
Anaeromyxobacter,Myxococcota
Babeliaceae_genus,Dependentiae
Allokutzneria,Actinomycetota
Rurimicrobium,Bacteroidota
Zag_111,Cyanobacteriota
Ruminococcaceae_genus,Bacillota
Arcticibacter,Bacteroidota
Simkaniaceae_genus,Chlamydiota
Bacteroidetes_VC2.1_Bac22_genus,Bacteroidota
Candidatus_Abawacabacteria_genus,Patescibacteria
Leptolyngbya_EcFYyyy-00,Cyanobacteriota
Fructilactobacillus,Bacillota
Candidatus_Saccharimonas,Patescibacteria
Erysipelotrichaceae_UCG-003,Bacillota
Pelotalea,Thermodesulfobacteriota
FFCH16263_genus,Actinomycetota
Plasticicumulans,Pseudomonadota
Nibribacter,Bacteroidota
Antarcticibacterium,Bacteroidota
Tepidimonas,Pseudomonadota
Desmonostoc_PCC-7422,Cyanobacteriota
Brevitalea,Acidobacteriota
Pseudopedobacter,Bacteroidota
Lutispora,Bacillota
Buchnera,Pseudomonadota
Pseudactinotalea,Actinomycetota
Prosthecomicrobium,Pseudomonadota
Erysipelotrichaceae_UCG-008,Bacillota
Brassicibacter,Bacillota
Desulfallas,Bacillota
Ruminiclostridium,Bacillota
Pseudolysobacter,Pseudomonadota
JTB255_marine_benthic_group,Pseudomonadota
EV818SWSAP88_genus,Pseudomonadota
WWH38_genus,Patescibacteria
Azohydromonas,Pseudomonadota
Oscillibacter,Bacillota
Olsenella,Actinomycetota
Chujaibacter,Pseudomonadota
Tahibacter,Pseudomonadota
EPR3968-O8a-Bc78_genus,Pseudomonadota
Finegoldia,Bacillota
211ds20_genus,Pseudomonadota
OLB8,Bacteroidota
Kallotenue,Chloroflexota
Tsuneonella,Pseudomonadota
Chelativorans,Pseudomonadota
Phreatobacter,Pseudomonadota
JTB23_genus,Pseudomonadota
Macrococcus,Bacillota
Luteibacter,Pseudomonadota
Moraxellaceae_genus,Pseudomonadota
Rufibacter,Bacteroidota
Pseudoclavibacter,Actinomycetota
Anaerofustis,Bacillota
[Clostridium]_innocuum_group,Bacillota
Desulfovectis,Bacillota
Waddlia,Chlamydiota
Salinispora,Actinomycetota
Proteiniborus,Bacillota
Okibacterium,Actinomycetota
Tychonema_CCAP_1459-11B,Cyanobacteriota
Harryflintia,Bacillota
Lachnospiraceae_FCS020_group,Bacillota
Panacagrimonas,Pseudomonadota
Tyzzerella,Bacillota
JCM_18997,Actinomycetota
Sediminibacterium,Bacteroidota
Muribaculum,Bacteroidota
Sideroxydans,Pseudomonadota
Paludicola,Bacillota
Eisenbergiella,Bacillota
028H05-P-BN-P5_genus,Planctomycetota
Patulibacter,Actinomycetota
Peredibacter,Bdellovibrionota
Polaromonas,Pseudomonadota
Klenkia,Actinomycetota
Risungbinella,Bacillota
Candidatus_Finniella,Pseudomonadota
Tuwongella,Planctomycetota
Planktosalinus,Bacteroidota
Hansschlegelia,Pseudomonadota
S15-21_genus,Bacteroidota
Tenggerimyces,Actinomycetota
Rickettsia,Pseudomonadota
Parvibaculaceae_genus,Pseudomonadota
Spiroplasma,Bacillota
Cellvibrionaceae_genus,Pseudomonadota
Kineococcus,Actinomycetota
Gottschalkia,Bacillota
JG30a-KF-32,Chloroflexota
Dechloromonas,Pseudomonadota
dgA-11_gut_group,Bacteroidota
Exiguobacterium,Bacillota
Flexilinea,Chloroflexota
4-29-1_genus,Nitrospirota
Kineobactrum,Pseudomonadota
FFCH9454_genus,Bacteroidota
Shouchella,Bacillota
Candidatus_Xiphinematobacter,Verrucomicrobiota
Cavicella,Pseudomonadota
Caedibacter,Pseudomonadota
Emticicia,Bacteroidota
IMCC26134,Verrucomicrobiota
Frisingicoccus,Bacillota
Fusicatenibacter,Bacillota
Demequinaceae_genus,Actinomycetota
Lentilactobacillus,Bacillota
CHAB-XI-27_genus,Pseudomonadota
Chthonobacter,Pseudomonadota
Schinkia,Bacillota
Paracoccaceae_genus,Pseudomonadota
Desemzia,Bacillota
Lachnospiraceae_ND3007_group,Bacillota
Monoglobus,Bacillota
Gammaproteobacteria_genus,Pseudomonadota
HSB_OF53-F07,Chloroflexota
Acetivibrio,Bacillota
Symbiobacteraceae_genus,Bacillota
FFCH16767_genus,Myxococcota
Chlamydiaceae_genus,Chlamydiota
Alsobacter,Pseudomonadota
Acidimicrobiia_genus,Actinomycetota
Parasutterella,Pseudomonadota
Legionellaceae_genus,Pseudomonadota
Occallatibacter,Acidobacteriota
M55-D21_genus,Bacillota
Rickettsiella,Pseudomonadota
Kineosporiaceae_genus,Actinomycetota
Pseudobdellovibrionaceae_genus,Bdellovibrionota
Planomonospora,Actinomycetota
Geomonas,Thermodesulfobacteriota
Anaerotruncus,Bacillota
Prevotellaceae_UCG-003,Bacteroidota
Vibrio,Pseudomonadota
Leptolinea,Chloroflexota
Janthinobacterium,Pseudomonadota
Thermicanus,Bacillota
Paludisphaera,Planctomycetota
Terriglobus,Acidobacteriota
MBA03_genus,Bacillota
Auricoccus-Abyssicoccus,Bacillota
Candidatus_Glomeribacter,Pseudomonadota
DEV007_genus,Verrucomicrobiota
Bacteriovoracaceae_genus,Bdellovibrionota
Tepidisphaera,Planctomycetota
Beijerinckiaceae_genus,Pseudomonadota
Defluviitaleaceae_UCG-011,Bacillota
Globicatella,Bacillota
Peptoniphilus,Bacillota
Candidatus_Peribacteria_genus,Patescibacteria
Candidatus_Captivus,Pseudomonadota
Lachnospiraceae_UCG-010,Bacillota
Thermincola,Bacillota
Ferrovibrionales_genus,Pseudomonadota
Thermostaphylospora,Actinomycetota
Sva0996_marine_group,Actinomycetota
Candidatus_Jorgensenbacteria_genus,Patescibacteria
Paraclostridium,Bacillota
Acuticoccus,Pseudomonadota
Pseudoflavitalea,Bacteroidota
Oscillatoria_SAG_1459-8,Cyanobacteriota
Rothia,Actinomycetota
Aeromonas,Pseudomonadota
Defluviimonas,Pseudomonadota
Flexivirga,Actinomycetota
Methylocystis,Pseudomonadota
Ignavibacterium,Ignavibacteriota
Syntrophorhabdus,Thermodesulfobacteriota
Geobacteraceae_genus,Thermodesulfobacteriota
WN-HWB-116_genus,Pseudomonadota
Aureibacillus,Bacillota
Bdellovibrio,Bdellovibrionota
Microcoleus_PCC-7113,Cyanobacteriota
Jiangella,Actinomycetota
Cereibacter,Pseudomonadota
Chryseomicrobium,Bacillota
SJA-15_genus,Chloroflexota
Anabaena,Cyanobacteriota
Aquisphaera,Planctomycetota
DTU014_genus,Bacillota
UCG-009,Bacillota
Elusimicrobium,Elusimicrobiota
Candidatus_Protochlamydia,Chlamydiota
Scopulibacillus,Bacillota
Lottiidibacillus,Bacillota
Ereboglobus,Verrucomicrobiota
Haemophilus,Pseudomonadota
Ornithinicoccus,Actinomycetota
Bacteroidales_genus,Bacteroidota
Clade_III_genus,Pseudomonadota
Dickeya,Pseudomonadota
Desulfotomaculum,Bacillota
BacC-u-018,Chloroflexota
RBG-16-58-14,Chloroflexota
Anaerolinea,Chloroflexota
[Clostridium]_methylpentosum_group,Bacillota
Prevotellaceae_UCG-004,Bacteroidota
Ferrovum,Pseudomonadota
Pygmaiobacter,Bacillota
Desulfitobacteriales_genus,Bacillota
Candidatus_Woykebacteria_genus,Patescibacteria
Thermasporomyces,Actinomycetota
Magnetospiraceae_genus,Pseudomonadota
Alkalihalobacillus,Bacillota
Thalassobacillus,Bacillota
Amnibacterium,Actinomycetota
Puniceispirillales_genus,Pseudomonadota
Urania-1B-19_marine_sediment_group,Planctomycetota
Catenuloplanes,Actinomycetota
Hazenella,Bacillota
Stackebrandtia,Actinomycetota
Candidatus_Curtissbacteria_genus,Patescibacteria
Agaricicola,Pseudomonadota
Brochothrix,Bacillota
Mycoplasmataceae_genus,Bacillota
Methylopila,Pseudomonadota
Aequorivita,Bacteroidota
Evansella,Bacillota
Pir2_lineage,Planctomycetota
JG30-KF-AS9_genus,Chloroflexota
Enhydrobacter,Pseudomonadota
UBA12411,Dependentiae
Candidatus_Kaiserbacteria_genus,Patescibacteria
Endomicrobium,Elusimicrobiota
Alkalibaculum,Bacillota
UA11_genus,Verrucomicrobiota
Gracilibacteria_genus,Patescibacteria
Oxalobacter,Pseudomonadota
Motilibacter,Actinomycetota
cvE6_genus,Chlamydiota
1959_1,Chloroflexota
Staphylospora,Bacillota
DEV008,Verrucomicrobiota
Hoylesella,Bacteroidota
Georgfuchsia,Pseudomonadota
Minicystis,Myxococcota
Pelagibacterium,Pseudomonadota
Hydrogenophaga,Pseudomonadota
Acrocarpospora,Actinomycetota
Roseburia,Bacillota
CAG-196,Cyanobacteriota
Acetitomaculum,Bacillota
Fenollaria,Bacillota
Sporomusaceae_genus,Bacillota
Micropepsis,Pseudomonadota
Flavimobilis,Actinomycetota
Proteiniphilum,Bacteroidota
Lentimicrobium,Bacteroidota
Bilophila,Thermodesulfobacteriota
Levilactobacillus,Bacillota
Desulfovibrio,Thermodesulfobacteriota
Anaeroplasma,Bacillota
Seinonella,Bacillota
Euzebya,Actinomycetota
Sporacetigenium,Bacillota
Ktedonobacteraceae_genus,Chloroflexota
Desulfitibacter,Bacillota
Prosthecobacter,Verrucomicrobiota
Neisseriaceae_genus,Pseudomonadota
FCPU453_genus,Elusimicrobiota
Terribacillus,Bacillota
Symbiobacteriales_genus,Bacillota
Halobacillus,Bacillota
Wolbachia,Pseudomonadota
Pasteuria,Bacillota
Capnocytophaga,Bacteroidota
Thiobacillus,Pseudomonadota
Gillisia,Bacteroidota
Taonella,Pseudomonadota
Segatella,Bacteroidota
Marinobacterium,Pseudomonadota
Angustibacter,Actinomycetota
Tardiphaga,Pseudomonadota
AD3_genus,Chloroflexota
Anaerococcus,Bacillota
1921_3,Chloroflexota
Family_XIII_AD3011_group,Bacillota
Longibaculum,Bacillota
HN-HF0106,Bacillota
Candidatus_Amesbacteria_genus,Patescibacteria
Microbispora,Actinomycetota
Pelagibius,Pseudomonadota
Methylotenera,Pseudomonadota
Anaerospora,Bacillota
BD1-7_clade,Pseudomonadota
Micavibrionaceae_genus,Pseudomonadota
Neochlamydia,Chlamydiota
bac2nit3_genus,Pseudomonadota
Clostridia_genus,Bacillota
Nostoc_PCC-7107,Cyanobacteriota
Immundisolibacter,Pseudomonadota
Defluviicoccus,Pseudomonadota
Cellulosilyticum,Bacillota
Arboricoccus,Pseudomonadota
Plantibacter,Actinomycetota
Fibrella,Bacteroidota
Coriobacteriales_genus,Actinomycetota
Rhodovarius,Pseudomonadota
Ancylobacter,Pseudomonadota
Anaerobutyricum,Bacillota
p-251-o5_genus,Bacteroidota
Chlorobaculum,Chlorobiota
Anaerobacterium,Bacillota
Syntrophobacteraceae_genus,Thermodesulfobacteriota
Paludibacteraceae_genus,Bacteroidota
Lachnoanaerobaculum,Bacillota
Desulfuromonas,Thermodesulfobacteriota
Syntrophus,Thermodesulfobacteriota
FCPS473,Chloroflexota
B12-WMSP1_genus,Chloroflexota
Barnesiellaceae_genus,Bacteroidota
GCA-900066575,Bacillota
[Eubacterium]_ventriosum_group,Bacillota
Anaerofilum,Bacillota
Actinorhabdospora,Actinomycetota
Midichloriaceae_genus,Pseudomonadota
Procabacter,Pseudomonadota
Desulfotomaculales_Incertae_Sedis_genus,Bacillota
Anaerocolumna,Bacillota
WWE3_genus,Patescibacteria
Alcanivorax,Pseudomonadota
Terrisporobacter,Bacillota
Syntrophaceticus,Bacillota
Candidatus_Nomurabacteria_genus,Patescibacteria
Rummeliibacillus,Bacillota
Sulfobacillus,Bacillota
Candidatus_Giovannonibacteria_genus,Patescibacteria
Chloroflexota_genus,Chloroflexota
Campylobacter,Campylobacterota
Soehngenia,Bacillota
Extibacter,Bacillota
Aeribacillus,Bacillota
Myroides,Bacteroidota
Calditerricola,Bacillota
Elev-16S-573_genus,Acidobacteriota
Methylophilus,Pseudomonadota
UTBCD1,Bacteroidota
p-2534-18B5_gut_group_genus,Bacteroidota
Marvinbryantia,Bacillota
Sphaerotilus,Pseudomonadota
Anaerosinus,Bacillota
Geobacillus,Bacillota
IheB3-7,Ignavibacteriota
Chitinimonas,Pseudomonadota
URHD0088_genus,Pseudomonadota
Aminicenans,Acidobacteriota
UCG-004,Bacillota
HOC36_genus,Pseudomonadota
Erysipelatoclostridiaceae_genus,Bacillota
Peptococcus,Bacillota
Desulfohalotomaculum,Bacillota
Rs-E47_termite_group_genus,Bacteroidota
Vallitalea,Bacillota
FCPU426_genus,FCPU426
Oxobacter,Bacillota
Alicyclobacillus,Bacillota
Tepidanaerobacter,Bacillota
Methyloceanibacter,Pseudomonadota
Frankia,Actinomycetota
Odoribacter,Bacteroidota
Fimbriimonas,Armatimonadota
Sphaerimonospora,Actinomycetota
Sulfobacillaceae_genus,Bacillota
Terrimicrobium,Verrucomicrobiota
Candidatus_Odyssella,Pseudomonadota
Parachlamydiaceae_genus,Chlamydiota
Roseococcus,Pseudomonadota
Candidatus_Endoecteinascidia,Pseudomonadota
Mastigocladopsis_PCC-10914,Cyanobacteriota
Rs-K70_termite_group_genus,Rs-K70_termite_group
SRB2_genus,Bacillota
Allohahella,Pseudomonadota
Ezakiella,Bacillota
Culicoidibacter,Bacillota
Pseudohongiella,Pseudomonadota
Algoriphagus,Bacteroidota
IMCC26207,Actinomycetota
Thermosporothrix,Chloroflexota
B55-F-B-G02_genus,Bacillota
Fusobacterium,Fusobacteriota
Gastranaerophilaceae_genus,Cyanobacteriota
PeM15_genus,Actinomycetota
Amphibacillus,Bacillota
Cerasibacillus,Bacillota
Elizabethkingia,Bacteroidota
[Eubacterium]_ruminantium_group,Bacillota
Butyribacter,Bacillota
G12-WMSP1,Chloroflexota
Agriterribacter,Bacteroidota
Desulfobacca,Thermodesulfobacteriota
Butyrivibrio,Bacillota
Cyanobium_PCC-6307,Cyanobacteriota
Mogibacterium,Bacillota
A2,Bacillota
Actinocatenispora,Actinomycetota
Dehalobacterium,Bacillota
Alkanindiges,Pseudomonadota
Anaerosolibacter,Bacillota
Polynucleobacter,Pseudomonadota
Entomoplasma,Bacillota
Candidatus_Uhrbacteria_genus,Patescibacteria
Methylacidiphilaceae_genus,Verrucomicrobiota
Magnetospirillum,Pseudomonadota
053A03-B-DI-P58_genus,Bdellovibrionota
Pelotomaculum,Bacillota
Family_XI_genus,Bacillota
Vitreoscilla,Pseudomonadota
Verrucomicrobium,Verrucomicrobiota
Sumerlaeia_genus,Sumerlaeota
Geothermomicrobium,Bacillota
Candidatus_Bealeia,Pseudomonadota
Estrella,Chlamydiota
Mycoplasma,Bacillota
Sva0485_genus,Sva0485
Kazania_genus,Patescibacteria
Proteinivoracaceae_genus,Bacillota
NRB23_genus,Bacillota
Weissella,Bacillota
Paracaedibacteraceae_genus,Pseudomonadota
GWA2-38-13b_genus,Patescibacteria
Roseiflexus,Chloroflexota
Syntrophobacter,Thermodesulfobacteriota
Leptotrichia,Fusobacteriota
Amphiplicatus,Pseudomonadota
Mesoplasma,Bacillota
Pedosphaera,Verrucomicrobiota
OLB12,Bacteroidota
Ethanoligenenaceae_genus,Bacillota
Fonticella,Bacillota
Papillibacter,Bacillota
Candidatus_Peregrinibacteria_genus,Patescibacteria
Elsteraceae_genus,Pseudomonadota
Cellulosibacter,Bacillota
Candidatus_Azambacteria_genus,Patescibacteria
Hydrocarboniphaga,Pseudomonadota
Cytophagaceae_genus,Bacteroidota
Desulfofalx,Bacillota
Sphingomonadaceae_genus,Pseudomonadota
MN_122.2a,Pseudomonadota
Edaphobacter,Acidobacteriota
Tsukamurella,Actinomycetota
Desulfocucumis,Bacillota
Butyricimonas,Bacteroidota
Phascolarctobacterium,Bacillota
TPD-58,Acidobacteriota
Faecalibacterium,Bacillota
Lichenibacterium,Pseudomonadota
1921_2,Chloroflexota
B10-SB3A_genus,Chloroflexota
WCHB1-41_genus,Verrucomicrobiota
F082_genus,Bacteroidota
Saccharofermentans,Bacillota
Turicimonas,Pseudomonadota
BD72BR169_genus,Pseudomonadota
Gracilibacter,Bacillota
Lachnospiraceae_NK3A20_group,Bacillota
Telmatocola,Planctomycetota
Sporobacter,Bacillota
Atopobiaceae_genus,Actinomycetota
Phoenicibacter,Actinomycetota
Arachidicoccus,Bacteroidota
JG36-GS-52_genus,Pseudomonadota
TX1A-33_genus,TX1A-33
Thermobispora,Actinomycetota
Candidatus_Magasanikbacteria_genus,Patescibacteria
Dethiobacter,Bacillota
Permianibacter,Pseudomonadota
Absconditabacteriales_(SR1)_genus,Patescibacteria
Galbibacter,Bacteroidota
Bacteroidetes_vadinHA17_genus,Bacteroidota
Heliobacteriaceae_genus,Bacillota
Armatimonas,Armatimonadota
HglApr721_genus,Pseudomonadota
Methylococcaceae_genus,Pseudomonadota
Dialister,Bacillota
Limnochordia_genus,Bacillota
Candidatus_Campbellbacteria_genus,Patescibacteria
Tolypothrix,Cyanobacteriota
Limnochordales_genus,Bacillota
Aggregatilinea,Chloroflexota
RS25G,Verrucomicrobiota
Fontimonas,Pseudomonadota
Gelria,Bacillota
Sulfurivermis,Pseudomonadota
Syntrophomonadaceae_genus,Bacillota
Oceanisphaera,Pseudomonadota
Margulisbacteria_genus,Margulisbacteria
Dokdonella,Pseudomonadota
Arenibacter,Bacteroidota
CENA518,Cyanobacteriota
Eubacteriaceae_genus,Bacillota
EF100-94H03_genus,Pseudomonadota
Candidatus_Kerfeldbacteria_genus,Patescibacteria
BBMC-4,Fibrobacterota
Candidatus_Kuenenbacteria_genus,Patescibacteria
Victivallaceae_genus,Verrucomicrobiota
Pseudoprevotella,Bacteroidota
Chitinivibrionia_genus,Fibrobacterota
Mailhella,Thermodesulfobacteriota
Holdemanella,Bacillota
Balneolaceae_genus,Balneolota
Desulfovirga,Thermodesulfobacteriota
IheB2-23,Pseudomonadota
Halomonas,Pseudomonadota
Nitriliruptoraceae_genus,Actinomycetota
Chitiniphilus,Pseudomonadota
Caldicellulosiruptor,Bacillota
Pseudobdellovibrio,Bdellovibrionota
AncK6_genus,AncK6
Desulfuribacillus,Bacillota
Puniceicoccaceae_genus,Verrucomicrobiota
Lentimonas,Verrucomicrobiota
BRH-c20a_genus,Bacillota
F9P41300-M23_genus,Pseudomonadota
MSB-4B10_genus,Myxococcota
Aquipuribacter,Actinomycetota
Rickettsiales_genus,Pseudomonadota
4572_13_genus,Planctomycetota
Mediterraneibacter,Bacillota
Veillonellales-Selenomonadales_genus,Bacillota
DSSF69,Pseudomonadota
Varibaculum,Actinomycetota
Desulfobacteraceae_genus,Thermodesulfobacteriota
[Eubacterium]_brachy_group,Bacillota
Candidatus_Competibacter,Pseudomonadota
Anaerovoracaceae_genus,Bacillota
Pseudoxanthobacter,Pseudomonadota
Ruthenibacterium,Bacillota
